pool_id,pool_name,source,actor_class_id,display_name_id,base_model_id,identity_pair_catalog_count,catalog_class_path,configured_class_path
31,amateur_footpad,lower_la_noscea_observations,2280101,3280101,1,1,,/Chara/Npc/Monster/Fighter/FighterEnemyPugilistStandard
32,amateur_highwayman,lower_la_noscea_observations,2280103,3280103,1,1,,/Chara/Npc/Monster/Fighter/FighterEnemyGladiatorStandard
33,amateur_raider,lower_la_noscea_observations,2280105,3280105,1,1,,/Chara/Npc/Monster/Fighter/FighterEnemyMarauderStandard
34,black_crow_archer,lower_la_noscea_observations,2180215,3180221,7,2,,/Chara/Npc/Monster/Pirate/PirateArcherStandard
35,black_crow_cleaver,lower_la_noscea_observations,2180217,3180222,7,2,,/Chara/Npc/Monster/Pirate/PirateMarauderStandard
36,black_crow_swashbuckler,lower_la_noscea_observations,2180214,3180220,7,2,,/Chara/Npc/Monster/Pirate/PirateGladiatorStandard
37,dire_rat,lower_la_noscea_observations,2104004,3104004,10502,1,/Chara/Npc/Monster/Lemming/LemmingStandard,
38,diremite,mor_dhona_observations,2101102,3101102,10017,1,,/Chara/Npc/Monster/Spider/SpiderFemaleStandard
39,dodo,lower_la_noscea_observations,2102001,3102001,10032,1,/Chara/Npc/Monster/Dodo/DodoLesserStandard,
40,evil_eye,mor_dhona_observations,2101703,3101703,10029,1,,/Chara/Npc/Monster/Ahriman/AhrimanNormalStandard
41,giant_crab,lower_la_noscea_observations,2107601,3107601,10013,1,,/Chara/Npc/Monster/Crab/CrabNormalStandard
42,goblin_bouncer,mor_dhona_observations,2110305,3110305,10912,1,,/Chara/Npc/Monster/Goblin/GoblinBommerglaStandard
43,headrip_ogre,mor_dhona_observations,2102504,3102504,10037,1,,/Chara/Npc/Monster/Ogre/OgreLesserStandard
44,hoverfly_swarm,lower_la_noscea_observations,2105307,3105307,10509,1,,/Chara/Npc/Monster/Fly/FlyStandard
45,hunter_kalong,mor_dhona_observations,2104109,3104109,10503,1,,/Chara/Npc/Monster/Bat/BatYellowStandard
46,imperial_sagittarius,mor_dhona_observations,2180017,3180017,1,3,,/Chara/Npc/Monster/Empire/EmpireArcherStandard
47,island_crab,lower_la_noscea_observations,2107602,3107602,10013,1,,/Chara/Npc/Monster/Crab/CrabLesserStandard
48,jellyfish,lower_la_noscea_observations,2205401,3205401,10510,1,,/Chara/Npc/Monster/Jellyfish/JellyfishLesserStandard
49,kobold_ascetic,lower_la_noscea_observations,2106637,3106629,10904,4,,/Chara/Npc/Monster/Goblin/GoblinBommerglaStandard
50,kobold_pickman,lower_la_noscea_observations,2106628,3106624,10904,3,,/Chara/Npc/Monster/Goblin/GoblinBommerglaStandard
51,ladybug,lower_la_noscea_observations,2103904,3103904,10501,1,/Chara/Npc/Monster/Bug/LadyBugStandard,
52,lost_ewe,lower_la_noscea_observations,2106002,3106002,10518,1,,/Chara/Npc/Monster/Sheep/SheepStandard
53,mountain_peiste,mor_dhona_observations,2100705,3100705,10008,1,,/Chara/Npc/Monster/ScaleLizard/ScaleLizardStandard
54,musk_roseling,lower_la_noscea_observations,2102717,3102719,10039,1,/Chara/Npc/Monster/Flower/FlowerStandard,
55,ocean_roseling,lower_la_noscea_observations,2202701,3202701,10039,1,,/Chara/Npc/Monster/Flower/FlowerPoisonousStandard
56,pack_rat,lower_la_noscea_observations,2204002,3204002,10502,1,,/Chara/Npc/Monster/Lemming/LemmingStandard
57,plains_rat,lower_la_noscea_observations,2104003,3104003,10502,1,/Chara/Npc/Monster/Lemming/LemmingStandard,
58,pugot,mor_dhona_observations,2101508,3101508,10025,1,,/Chara/Npc/Monster/Boar/BoarNormalStandard
59,puk,lower_la_noscea_observations,2100102,3100102,10002,1,,/Chara/Npc/Monster/WingLizard/WingLizardNormalStandard
60,puk_hatchling,lower_la_noscea_observations,2100101,3100101,10002,9,,/Chara/Npc/Monster/WingLizard/WingLizardLesserStandard
61,puroboros,mor_dhona_observations,2101608,3101608,10028,1,/Chara/Npc/Monster/Bomb/BombNormalStandard,
62,qiqirn_scrambler,mor_dhona_observations,2106304,3106304,10901,1,,/Chara/Npc/Monster/Qiqirn/QiqirnBareHandsStandard
63,rainbow_basilisk,mor_dhona_observations,2100714,3100714,10008,1,,/Chara/Npc/Monster/ScaleLizard/ScaleLizardStandard
64,ravenous_nannygoat,lower_la_noscea_observations,2102307,3102307,10035,1,/Chara/Npc/Monster/Yak/YakFemaleStandard,
65,rhotano_buccaneer,lower_la_noscea_observations,2180201,3180201,7,1,,/Chara/Npc/Monster/Pirate/PirateMarauderStandard
66,saltspray_pteroc,mor_dhona_observations,2100105,3100105,10002,1,,/Chara/Npc/Monster/WingLizard/WingLizardNormalStandard
67,scalepuk,lower_la_noscea_observations,2200101,3200101,10002,1,,/Chara/Npc/Monster/WingLizard/WingLizardLesserStandard
68,sea_puk,lower_la_noscea_observations,2100104,3100104,10002,1,,/Chara/Npc/Monster/WingLizard/WingLizardNormalStandard
69,smolenkos,mor_dhona_observations,2101707,3101707,10029,1,,/Chara/Npc/Monster/Ahriman/AhrimanNormalStandard
70,toadstool,mor_dhona_observations,2105905,3105905,10516,1,,/Chara/Npc/Monster/Funguar/FunguarNormalStandard
71,toxic_toad,mor_dhona_observations,2103101,3103101,10045,1,,/Chara/Npc/Monster/Gigantoad/GigantoadNormalStandard
72,truffle_hog,mor_dhona_observations,2101503,3101503,10025,1,,/Chara/Npc/Monster/Boar/BoarNormalStandard
73,viith_legion_eques,mor_dhona_observations,2180038,3180024,1,1,,/Chara/Npc/Monster/Empire/EmpirePugilistStandard
74,viith_legion_hoplomachus,mor_dhona_observations,2280052,3280036,1,1,,/Chara/Npc/Monster/Empire/EmpireGladiatorStandard
75,viith_legion_laquearius,mor_dhona_observations,2280053,3280037,8,1,,/Chara/Npc/Monster/Empire/EmpireLancerStandard
76,viith_legion_medicus,mor_dhona_observations,2280056,3280040,5,1,,/Chara/Npc/Monster/Empire/EmpireConjurerStandard
77,viith_legion_sagittarius,mor_dhona_observations,2180039,3180025,1,1,,/Chara/Npc/Monster/Empire/EmpireArcherStandard
78,viith_legion_secutor,mor_dhona_observations,2180037,3180023,1,1,,/Chara/Npc/Monster/Empire/EmpireGladiatorStandard
79,viith_legion_signifer,mor_dhona_observations,2280057,3280041,4,1,,/Chara/Npc/Monster/Empire/EmpireThaumaturgeStandard
80,wharf_rat,lower_la_noscea_observations,2104001,3104027,10502,1,/Chara/Npc/Monster/Lemming/LemmingStandard,
81,bumble_beetle,lower_la_noscea_observations,2103901,3103901,10501,1,/Chara/Npc/Monster/Bug/BugStandard,
82,aldgoat_nanny,lower_la_noscea_observations,2102305,3102305,10035,1,/Chara/Npc/Monster/Yak/YakFemaleStandard,
